Team Number,AVERAGE of Total Score,MIN of Total Score,MAX of Total Score,AVERAGE of Teleop Score,MAX of Teleop Score,AVERAGE of Auton Score,MAX of Auton Score,AVERAGE of Fouls,AVERAGE of Total Pieces,Auton Accuracy ,AVERAGE of Auton Speaker,AVERAGE of Auton Speaker Miss,AVERAGE of Auton Amp,AVERAGE of Auton Amp Miss,AVERAGE of Auton Pieces,Teleop Accuracy ,AVERAGE of Teleop Speaker,AVERAGE of Teleop Speaker Miss,AVERAGE of Teleop Amp,AVERAGE of Teleop Amp Miss,AVERAGE of Trap,AVERAGE of Climb,SUM of Climb,SUM of Failed Climb,Climb Accuracy,MAX of Auton Speaker,MAX of Auton Amp,MIN of Auton Speaker,MIN of Auton Amp,MAX of Teleop Speaker,MIN of Teleop Speaker,MAX of Teleop Amp,MIN of Teleop Amp,AVERAGE of Failed Trap,SUM of Harmony,STDEV of Total Score
167,8.4,0,15,4.4,10,4,15,0,360.0,0.8,0.8,0.2,0.0,0,1,0.5833333333,1.6,1.6,1.2,40.0,0,0,0,1,0,3,0,0,0,5,0,4,0,0,5,4.926120854
1208,13.90909091,0,25,11.18181818,20,2.727272727,5,0.09090909091,627.3,0.8571428571,0.5454545455,0.09090909091,0.0,0,1,0.8076923077,5.454545455,1.272727273,0.2727272727,9.1,0,0,0,0,0,1,0,0,0,10,0,3,0,0,9,7.449222046
1706,33,7,47,15.72727273,23,17.27272727,30,0,1090.9,0.8260869565,3.454545455,0.7272727273,0.0,0,3,0.9534883721,4.727272727,0.2727272727,2.727272727,9.1,0.2727272727,0.7272727273,8,0,1,6,0,0,0,11,0,5,0,0,0,14.97998665
1723,5.7,2,11,5.7,11,0,0,0,180.0,0,0,0,0.0,0,0,0.3829787234,1.8,2.9,0,0.0,0,0.7,7,1,0.875,0,0,0,0,4,0,0,0,0,0,2.869378562
1785,13.6,0,32,8.6,17,5,15,0,550.0,0.7142857143,1,0.4,0.0,0,1,0.75,2.9,0.9,1.6,60.0,0,0.4,4,2,0.6666666667,3,0,0,0,7,0,4,0,0,2,9.082339395
1982,6.9,0,12,4.4,11,2.5,5,0,180.0,0.5,0.5,0.5,0.0,0,1,0.325,1.3,2.7,0,0.0,0,0.6,6,2,0.75,1,0,0,0,4,0,0,0,0.1,2,4.228212125
1987,25.2,9,36,15.7,22,9.5,20,0.1,890.0,0.7307692308,1.9,0.7,0.0,0,2,0.8333333333,6.6,1.1,0.4,30.0,0,0.7,7,0,1,4,0,0,0,11,0,4,0,0,1,7.067924416
1997,9,4,19,6,16,3,5,0,350.0,0.6666666667,0.6,0.3,0.0,0,1,0.90625,2.8,0.3,0.1,0.0,0,0.1,1,0,1,1,0,0,0,8,0,1,0,0.1,5,5.291502622
2457,0.5454545455,0,3,0.5454545455,3,0,0,0.09090909091,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.1818181818,2,1,0.6666666667,0,0,0,0,0,0,0,0,0,2,1.213559752
2502,11.72727273,2,28,8.545454545,16,3.181818182,15,0.1818181818,509.1,0.7777777778,0.6363636364,0.1818181818,0.0,0,1,0.7101449275,3.818181818,1.727272727,0.6363636364,9.1,0,0.09090909091,1,2,0.3333333333,3,0,0,0,6,0,4,0,0,6,6.649675317
2718,20.6,5,34,9.6,16,11,20,0,700.0,1,2.2,0,0.0,0,2,0.8421052632,4.8,0.9,0,0.0,0,0,0,1,0,4,0,1,0,8,0,0,0,0,4,9.227976786
3729,18.77777778,9,26,9.888888889,16,8.888888889,20,0,700.0,0.8888888889,1.777777778,0.2222222222,0.0,0,2,0.8703703704,3.666666667,0.3333333333,1.555555556,44.4,0,0.3333333333,3,1,0.75,4,0,1,0,8,0,4,0,0,4,5.847601598
3928,10.27272727,0,22,8.909090909,17,1.363636364,5,0,445.5,0.5,0.2727272727,0.2727272727,0.0,0,0,0.8070175439,3.636363636,0.7272727273,0.5454545455,27.3,0,0.3636363636,4,1,0.8,1,0,0,0,8,0,3,0,0.09090909091,3,6.246453539
3931,14.5,8,25,9,14,5.5,15,0.1,550.0,0.7333333333,1.1,0.4,0.0,0,1,0.7213114754,4.3,1.7,0.1,0.0,0,0.1,1,1,0.5,3,0,0,0,7,1,1,0,0,5,5.967504597
4455,0.3333333333,0,3,0.3333333333,3,0,0,0.1111111111,0.0,0,0,0,0.0,0,0,0,0,0.4444444444,0,0.0,0,0.1111111111,1,1,0.5,0,0,0,0,0,0,0,0,0,2,1
4522,29.8,10,49,16.3,24,13.5,25,0.1,1180.0,0.9,2.7,0.3,0.0,0,3,0.8666666667,4.2,1.2,4.9,20.0,0.3,0.5,5,3,0.625,5,0,0,0,6,2,6,3,0,3,10.71655003
4550,11.81818182,7,22,8.636363636,17,3.181818182,5,0.09090909091,427.3,0.6363636364,0.6363636364,0.3636363636,0.0,0,1,0.6896551724,3.636363636,1.636363636,0,0.0,0,0.4545454545,5,3,0.625,1,0,0,0,7,1,0,0,0,2,4.423079964
4593,8.111111111,3,13,6.444444444,10,1.666666667,5,0,288.9,0.5,0.3333333333,0.3333333333,0.0,0,0,0.7931034483,2.222222222,0.6666666667,0.3333333333,0.0,0,0.5555555556,5,2,0.7142857143,1,0,0,0,5,0,3,0,0,2,2.891558595
4646,21.81818182,0,42,10.45454545,20,11.36363636,25,0,745.5,0.7352941176,2.272727273,0.8181818182,0.0,0,2,0.8260869565,4.727272727,1.090909091,0.4545454545,0.0,0,0.1818181818,2,2,0.5,5,0,0,0,10,0,2,0,0,2,12.25412732
4766,17,10,27,9.25,17,7.75,17,0.125,525.0,0.619047619,1.5,0.625,12.5,0.375,2,0.725,3.375,0.75,0.25,62.5,0,0.75,6,1,0.8571428571,3,1,0,0,7,0,2,0,0,1,6.676183683
5013,21.3,13,34,13.3,19,8,15,0,780.0,0.8421052632,1.6,0.3,0.0,0,2,0.6813186813,5.3,2,0.9,90.0,0,0.6,6,0,1,3,0,0,0,8,1,4,0,0,1,6.600505031
5098,0.2222222222,0,2,0.2222222222,2,0,0,0,11.1,0,0,0,0.0,0,0,0.1666666667,0.1111111111,0.5555555556,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0.6666666667
5141,4.818181818,0,11,4.363636364,10,0.4545454545,5,0.4545454545,190.9,1,0.09090909091,0,0.0,0,0,0.6060606061,1.727272727,1,0.09090909091,18.2,0,0.2727272727,3,3,0.5,1,0,0,0,4,0,1,0,0,3,3.842347767
5312,1.8,0,7,1.3,6,0.5,5,0,90.0,1,0.1,0,0.0,0,0,0.5333333333,0.5,0.6,0.3,10.0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,5,2.780887149
5442,9.636363636,4,14,7.818181818,13,1.818181818,5,0,445.5,0.3076923077,0.3636363636,0.8181818182,0.0,0,0,0.7627118644,2.636363636,1.090909091,1.454545455,18.2,0,0.3636363636,4,2,0.6666666667,1,0,0,0,5,0,5,0,0,6,3.074824459
5801,16.22222222,0,28,7.888888889,13,8.333333333,15,0.1111111111,511.1,0.8823529412,1.666666667,0.2222222222,0.0,0,2,0.6595744681,3.444444444,1.777777778,0,0.0,0,0.3333333333,3,1,0.75,3,0,0,0,5,0,0,0,0,3,9.743943988
5809,16.6,8,32,13.1,22,3.5,10,0.1,680.0,0.5,0.7,0.7,0.0,0,1,0.8472222222,6.1,1.1,0,0.0,0,0.3,3,2,0.6,2,0,0,0,11,4,0,0,0,3,6.686636756
5968,8.7,4,13,4.2,7,4.5,10,0,240.0,0.75,0.9,0.3,0.0,0,1,0.6,1.5,1,0,0.0,0,0.4,4,3,0.5714285714,2,0,0,0,3,0,0,0,0,3,3.713339318
6391,11.1,3,23,6.1,13,5,10,0.1,510.0,0.5882352941,1,0.7,0.0,0,1,0.8541666667,2,0.6,2.1,10.0,0,0,0,1,0,2,0,0,0,6,0,5,0,0,6,6.261877603
6420,5,0,21,3.636363636,7,1.363636364,15,0,327.3,0.75,0.2727272727,0.09090909091,0.0,0,0,0.6,0.6363636364,1,2.363636364,100.0,0,0,0,2,0,3,0,0,0,3,0,5,0,0,8,5.621387729
6823,3.2,0,8,1.7,8,1.5,5,0,110.0,0.75,0.3333333333,0.1111111111,0.0,0,0,0.4,0.6666666667,1,0.2222222222,33.3,0,0.1111111111,1,6,0.1428571429,1,0,0,0,3,0,2,0,0,2,3.614784456
7662,0,0,0,0,0,0,0,0.1111111111,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
7747,2.636363636,0,4,2.636363636,4,0,0,0.09090909091,72.7,0,0,0.09090909091,0.0,0,0,0.25,0,0.09090909091,0.7272727273,209.1,0,0.6363636364,7,1,0.875,0,0,0,0,0,0,3,0,0,1,1.361816968
9031,8.545454545,3,18,3.545454545,8,5,10,0,318.2,0.7333333333,1,0.3636363636,0.0,0,1,0.9230769231,0.8181818182,0.1818181818,1.363636364,0.0,0,0.1818181818,2,4,0.3333333333,2,0,0,0,4,0,6,0,0,5,4.8859725
9126,12.1,5,21,10.1,16,2,5,0,690.0,0.5714285714,0.4,0.3,0.0,0,0,0.8227848101,2.1,0.9,4.4,50.0,0,0.5,5,0,1,1,0,0,0,4,0,5,3,0,3,4.724639904
9428,5.545454545,0,10,5.090909091,10,0.4545454545,5,0,409.1,1,0.09090909091,0,0.0,0,0,0.9166666667,1.090909091,0.1818181818,2.909090909,18.2,0,0,0,0,0,1,0,0,0,5,0,5,0,0,8,3.142089635
